Zipcode,Dispensary Count,Patient Count,Latitude,Longitude,Nearest Disp Distance,Nearest Disp Zipcode,Patient Miles
16222,0,75,40.88,-79.24,18.55192848,15701,1391.394636
17536,0,69,39.82,-76.09,18.52656304,19320,1278.33285
18347,0,150,41.11,-75.56,18.4862265,18702,2772.933975
15741,0,6,40.8,-78.89,18.45650231,15701,110.7390139
16841,0,196,41.01,-77.65,18.4422571,16801,3614.682392
18438,0,68,41.43,-75.27,18.3811474,18519,1249.918023
16660,0,5,40.46,-78.05,18.37632216,16634,91.8816108
17776,0,11,41.41,-77.29,18.36486548,17701,202.0135203
16342,0,69,41.36,-79.93,18.36197417,16137,1266.976218
16223,0,3,40.99,-79.35,18.34150245,15825,55.02450736
17742,0,2,41.24,-76.6,18.31835036,17815,36.63670071
16260,0,5,41.4,-79.23,18.31063997,15825,91.55319983
17779,0,19,41.21,-77.38,18.28887553,17701,347.488635
15555,0,12,40.1,-79.08,18.23970039,15901,218.8764047
16733,0,6,41.7,-78.58,18.20938688,16701,109.2563213
16839,0,52,41.01,-78.11,18.18965774,16803,945.8622024
15521,0,78,40.19,-78.62,18.11884107,15901,1413.269603
15459,0,61,39.73,-79.45,18.11733464,15401,1105.157413
17002,0,5,40.53,-77.81,18.06312724,16801,90.31563619
17233,0,277,39.93,-77.99,18.05923345,17201,5002.407665
16226,0,414,40.76,-79.53,18.00248304,15068,7453.027979
15346,0,37,39.94,-80.08,17.99379515,15301,665.7704206
15469,0,82,40.01,-79.42,17.95295975,15401,1472.142699
16134,0,173,41.48,-80.43,17.95010977,16148,3105.36899
15760,0,5,40.64,-78.81,17.92713257,15701,89.63566287
16627,0,129,40.74,-78.53,17.91541413,16602,2311.088423
18470,0,80,41.71,-75.49,17.88014933,18519,1430.411947
16677,0,19,40.81,-78.24,17.84054244,16803,338.9703063
17882,0,3,40.81,-77.2,17.84054244,17870,53.52162732
16840,0,36,40.92,-78.2,17.76475655,16803,639.5312359
15344,0,68,39.93,-80.05,17.74903781,15401,1206.934571
15924,0,45,40.1,-78.76,17.74205909,15901,798.3926589
18610,0,283,41.04,-75.52,17.73944895,18360,5020.264052
16830,0,892,41.02,-78.43,17.71881161,15801,15805.17996
16228,0,16,40.76,-79.54,17.66964588,15068,282.7143341
16233,0,39,41.36,-79.29,17.60882241,15825,686.7440741
16860,0,22,40.94,-78.18,17.56257485,16803,386.3766467
17099,0,80,40.64,-77.58,17.55243994,16801,1404.195195
16670,0,5,40.26,-78.51,17.54733778,16602,87.73668892
17762,0,16,41.28,-76.7,17.52841698,17701,280.4546717
16362,0,47,41.43,-79.95,17.52430338,16335,823.6422588
16655,0,71,40.23,-78.5,17.50835373,16634,1243.093115
16669,0,94,40.57,-78.04,17.49140707,16803,1644.192264
18824,0,78,41.7,-75.76,17.45193424,18519,1361.250871
17239,0,2,40.13,-77.85,17.40483643,17201,34.80967286
15322,0,101,39.97,-80.04,17.40113502,15301,1757.514637
16750,0,11,41.88,-78.32,17.3941181,16701,191.3352991
16866,0,553,40.89,-78.21,17.39109481,16803,9617.275432
18456,0,13,41.58,-75.32,17.31182137,18519,225.0536779
15327,0,47,39.75,-79.99,17.3095205,15401,813.5474633
16640,0,89,40.71,-78.58,17.30822503,16602,1540.432027
16256,0,12,40.87,-79.17,17.28256113,15701,207.3907336
15780,0,7,40.91,-79.07,17.25944105,15825,120.8160874
16020,0,52,41.11,-79.9,17.25930295,16001,897.4837534
15462,0,26,40.06,-79.38,17.24898315,15650,448.473562
17228,0,41,39.97,-78.08,17.23188292,16634,706.5071999
15722,0,81,40.6,-78.7,17.23171657,16602,1395.769042
17829,0,2,40.9,-77.16,17.1671185,17870,34.33423699
15520,0,8,40.11,-79.06,17.12745259,15901,137.0196207
18624,0,21,41.05,-75.66,17.08538968,18702,358.7931833
15537,0,401,40.01,-78.36,17.07997313,16634,6849.069226
17748,0,17,41.15,-77.34,17.0768836,17701,290.3070211
15544,0,14,40.13,-79.1,17.06977395,15901,238.9768353
16430,0,2,42,-80.42,16.96656298,16505,33.93312595
17774,0,50,41.24,-76.52,16.95977475,17815,847.9887377
15762,0,13,40.59,-78.83,16.95563566,15701,220.4232636
15432,0,11,40.11,-79.86,16.89893615,15401,185.8882976
15337,0,17,39.95,-80.38,16.89621886,15301,287.2357207
15315,0,11,39.75,-79.98,16.87065733,15401,185.5772307
16859,0,22,41.02,-78.04,16.85757196,16803,370.866583
16040,0,30,41.1,-79.83,16.85592184,16001,505.6776553
16317,0,46,41.53,-79.85,16.83488316,16335,774.4046255
16028,0,90,40.98,-79.61,16.83334407,16001,1515.000966
16849,0,8,40.97,-78.13,16.8135005,16803,134.508004
17260,0,38,40.29,-77.87,16.79322681,16634,638.1426186
16879,0,22,40.96,-78.14,16.73004383,16803,368.0609642
15423,0,79,40.09,-79.93,16.72768157,15102,1321.486844
15746,0,5,40.76,-78.89,16.72748706,15701,83.63743531
16843,0,47,41.01,-78.46,16.71131295,15801,785.4317088
16242,0,166,41,-79.32,16.70183268,15825,2772.504226
18622,0,11,41.2,-76.27,16.69619341,17815,183.6581275
17772,0,90,41.1,-76.76,16.6951529,17701,1502.563761
15490,0,7,40.07,-79.42,16.69375746,15650,116.8563022
15377,0,38,39.99,-80.45,16.67650733,15301,633.7072784
18333,0,33,40.9,-75.49,16.64033126,18360,549.1309314
16680,0,13,40.74,-78.38,16.59362665,16602,215.7171465
16740,0,47,41.72,-78.64,16.56379413,16701,778.4983239
15744,0,3,40.92,-79.08,16.56148314,15825,49.68444943
15368,0,30,40.01,-79.99,16.55577349,15401,496.6732046
17255,0,38,40.18,-77.86,16.53219298,16634,628.2233333
15012,0,743,40.12,-79.86,16.47012143,15102,12237.30022
16218,0,31,40.93,-79.59,16.43448236,16001,509.4689533
16833,0,262,40.97,-78.51,16.42195413,15801,4302.551982
15348,0,19,39.99,-80,16.39272673,15401,311.4618079
17223,0,22,40.06,-77.93,16.39028392,16634,360.5862463
17074,0,478,40.47,-77.13,16.35294732,17110,7816.708819
18346,0,158,41.14,-75.42,16.31635033,18360,2577.983352
18350,0,78,41.11,-75.45,16.27827165,18360,1269.705189
15767,0,765,40.94,-78.97,16.2325296,15825,12417.88514
16435,0,84,41.8,-80.37,16.22841468,16335,1363.186833
17352,0,42,39.76,-76.5,16.21008739,17402,680.8236703
16611,0,99,40.55,-78.1,16.16816975,16602,1600.648806
16263,0,14,40.81,-79.33,16.1616309,15701,226.2628325
17737,0,304,41.23,-76.72,16.15006913,17701,4909.621017
17813,0,95,40.75,-77.16,16.11072232,17870,1530.518621
15450,0,19,40.01,-79.98,16.09812915,15401,305.8644539
15927,0,40,40.54,-78.78,16.02905613,15901,641.1622454
16214,0,463,41.21,-79.38,16.01589466,15825,7415.359229
15563,0,115,40.1,-78.95,16.00956998,15901,1841.100548
17215,0,28,40.08,-77.88,16.00065793,17201,448.018422
15831,0,27,41.35,-78.6,15.99561973,15801,431.8817328
16683,0,11,40.62,-78.14,15.99286574,16602,175.9215231
17349,0,404,39.73,-76.69,15.94813348,17402,6443.045927
18235,0,1018,40.83,-75.71,15.93547362,18201,16222.31214
17749,0,5,41.07,-76.81,15.92452149,17701,79.62260743
15466,0,28,40.08,-79.89,15.91361762,15401,445.5812934
17302,0,115,39.82,-76.39,15.91341925,17602,1830.043214
15771,0,35,40.82,-79,15.88923615,15701,556.1232651
16682,0,14,40.27,-78.46,15.88275675,16634,222.3585945
15427,0,76,40.07,-79.97,15.87873038,15301,1206.783509
16212,0,30,40.75,-79.58,15.86472621,15068,475.9417863
